Eastar Jet,"Cheongju, Jeju (suspended until 20 February 2020),[51][52] Seoul–Incheon[53]"
Emirates,Dubai–International (suspended)[54]
Ethiopian Airlines,Addis Ababa
Etihad Airways,Abu Dhabi (suspended)[55]
EVA Air,"Kaohsiung, Taipei–Taoyuan"
Finnair,Helsinki (suspended until 29 February 2020)[56]
Fuzhou Airlines,Fuzhou
Garuda Indonesia,"Denpasar/Bali, Jakarta–Soekarno-Hatta (both suspended until further information)[57]"
Hainan Airlines,"Beijing–Capital, Boston, Changsha, Chongqing, Dalian, Guangzhou, Haikou, Hohhot, Seattle/Tacoma, Shenzhen, Taiyuan, Weifang, Xi'an"
Hebei Airlines,Shijiazhuang
Japan Airlines,"Nagoya–Centrair, Osaka–Kansai, Tokyo–Haneda, Tokyo–Narita"
Juneyao Airlines,"Athens (begins 23 June 2020),[62] Bangkok–Suvarnabhumi, Bayannur, Beihai, Cebu, Changbaishan, Changchun, Changsha, Changzhi, Chiang Mai, Chongqing, Dalian, Dongying, Fuzhou, Guilin, Guiyang, Guyuan, Haikou, Hailar, Hanzhong, Harbin, Helsinki,[63] Hohhot, Hong Kong, Huizhou, Istanbul (begins 24 June 2020),[62] Jeju, Jinchang, Kalibo, Kaohsiung, Kunming, Lanzhou, Lijiang, Linfen, Longyan, Macau, Mianyang, Nagoya–Centrair, Naha, Nanning, Osaka–Kansai, Phuket, Qianjiang, Qingdao, Sanming, Sanya, Sapporo–Chitose, Shenyang, Shenzhen, Singapore, Songyuan, Taipei–Taoyuan, Tianjin, Tokyo–Haneda, Tokyo–Narita,[64] Tongliao, Tongren, Ulanqab, Urumqi, Vladivostok,[65] Wuhan, Xiamen, Xi'an, Xiangyang, Xining, Yinchuan, Yonago,[66] Yueyang, Zhangjiajie, Zhangye, Zhengzhou, Zhongwei"
,Seasonal: Irkutsk
Korean Air,"Busan, Seoul–Incheon"
Kunming Airlines,Kunming
Lao Airlines,Vientiane[68]
Lucky Air,Kunming
Mahan Air,Tehran–Imam Khomeini
Malaysia Airlines,"Kota Kinabalu, Kuala Lumpur–International"
NokScoot,Bangkok–Don Mueang[70]
Peach,"Osaka–Kansai, Tokyo–Haneda (both flights suspended until 28 March 2020)[71]"
Philippine Airlines,Manila
Philippine Airlines,Kalibo[72]
operated by PAL Express,
Philippines AirAsia,"Kalibo, Manila (both suspended until 2 March 2020)[73]"
Qantas,Sydney (suspended until 31 March 2020)[74]
Qatar Airways,Doha (suspended until 29 February 2020)[75]
Qingdao Airlines,Qingdao
Royal Brunei Airlines,Bandar Seri Begawan (suspended until 28 February 2020)[76]
S7 Airlines,Vladivostok (suspended until 28 March 2020)[77]
,Seasonal: Novosibirsk
Scandinavian Airlines,Copenhagen (suspended)[78]
Shandong Airlines,"Harbin, Qingdao, Xiamen, Zhuhai"
Shanghai Airlines,"Anshan, Bangkok–Suvarnabhumi, Baotou, Budapest, Busan, Changchun, Changsha, Chengdu,[79] Chiang Mai, Dalian, Denpasar/Bali, Guangzhou, Guilin, Guiyang, Haikou, Harbin, Hengyang, Hong Kong, Jieyang, Jining, Jinzhou, Karamay, Kota Kinabalu, Kuala Lumpur–International, Kunming, Lanzhou, Lianyungang, Linfen, Linyi, Macau,[80] Melbourne, Mianyang, Nanning, Ordos, Osaka–Kansai, Phuket, Qinhuangdao, Qionghai, Rizhao, Sanya, Seoul–Incheon, Shenyang, Taipei–Songshan, Tangshan, Tianjin, Tokyo–Haneda, Tongliao, Toyama, Turpan, Urumqi, Wanzhou, Weihai, Wenzhou, Xi'an,[81] Xinzhou, Yichang, Yinchuan, Yuncheng, Zhangjiajie, Zhanjiang, Zhengzhou"
,"Seasonal: Krabi, Malé"
Shenzhen Airlines,"Nanchang, Quanzhou, Shenyang, Shenzhen"
Sichuan Airlines,"Chengdu, Chongqing, Harbin, Kunming, Saipan, Sanya, Xi'an"
Singapore Airlines,Singapore
Sky Angkor Airlines,Sihanoukville[82]
Spring Airlines,"Anshun, Bangkok–Suvarnabhumi, Beihai, Changbaishan, Changchun, Changsha, Chiang Mai, Chongqing, Dalian, Guilin, Harbin, Hong Kong, Ibaraki, Jeju, Jieyang, Kaohsiung, Kota Kinabalu, Krabi, Lanzhou, Macau, Mianyang, Nagoya–Centrair, Nanning, Nha Trang, Osaka–Kansai, Phnom Penh, Phuket, Qingyang, Saga, Sanya, Sapporo–Chitose, Shenyang, Shijiazhuang, Shiyan, Singapore, Surat Thani, Taipei–Taoyuan, Taiyuan, Takamatsu, Tianjin, Tokyo–Haneda, Tokyo–Narita,[83] Yangon,[84] Zhangjiajie, Zhangye"
Spring Airlines Japan,Tokyo–Narita
SriLankan Airlines,Colombo–Bandaranaike
Thai AirAsia X,Bangkok–Don Mueang
Thai Airways,Bangkok–Suvarnabhumi
Thai Lion Air,"Bangkok–Don Mueang,[86] Phuket"
T'way Air,Daegu
