Flight Traffic from  Iran,,,,,,
1,Turkey,Istanbul,120,"AtlasGlobal,ÿIran Air",,
,,,,"Mahan Air,ÿPegasus Airlines,ÿQeshm Airlines",,
,,,,Turkish Airlines,,
2,Iraq,Najaf,80,"ATA Airlines,ÿIran Air,ÿIran Aseman Airlines",,
,,,,"Iraqi Airways,ÿMahan Air,ÿQeshm Airlines",,
,,,,Taban Airlines,,
3,United Arab Emirates,Dubai,30,"Emirates,ÿIran Air,ÿMahan Air",,
4,Qatar,Doha,20,Qatar Airways[47],,
5,Iraq,Baghdad,15,"Iran Air,ÿIraqi Airways,ÿMahan Air",,
